Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
II2300564,1/15/2023,15:11,1/14/2023,23:20,"211 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300599,1/16/2023,11:11,1/15/2023,23:00,"200 E Healey St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300599,1/16/2023,11:11,1/15/2023,23:00,"200 E Healey St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,PENDING
II2300607,1/16/2023,13:32,1/16/2023,12:00,"201 E Peabody Dr, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
IF2300628,1/17/2023,0:21,1/17/2023,0:21,"211 E Green St, Champaign, IL 61820, USA",BATTERY,ADMIN CLOSED
IF2300635,1/17/2023,1:41,1/17/2023,1:41,"1005 W College Ct, Urbana, IL 61801, USA",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,,,REFERRAL
IF2300691,1/17/2023,23:45,1/17/2023,23:45,"1001 S Dorner Dr, Urbana, IL 61801, USA",CRIMINAL DAMAGE,ADMIN CLOSED
II2300650,1/17/2023,9:08,1/17/2023,9:06,"1005 W College Ct, Urbana, IL 61801, USA",DECEPTIVE PRACTICES,ADMIN. CLOSE
II2300657,1/17/2023,10:30,1/16/2023,1:28,"406 E Green St, Champaign, IL 61820, USA",CRIMINAL DAMAGE TO,STUDENT
,,,,,,PROPERTY,DISCIPLINE
,,,,,,,REFERRAL
II2300657,1/17/2023,10:30,1/16/2023,1:28,"406 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300659,1/17/2023,12:43,1/17/2023,12:42,"Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
,,,,,,DEPT,
II2300679,1/17/2023,21:00,1/16/2023,10:28,"0 E John St, Champaign, IL 61820, USA",THEFT OVER $500,PENDING
II2300679,1/17/2023,21:00,1/16/2023,10:28,"0 E John St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300707,1/18/2023,7:55,1/17/2023,23:00,"102 E Green St STE 104, Champaign, IL 61820,",THEFT $500 AND UNDER,ADMIN. CLOSE
,,,,,USA,,
II2300707,1/18/2023,7:55,1/17/2023,23:00,"102 E Green St STE 104, Champaign, IL 61820,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
II2300715,1/18/2023,11:30,1/18/2023,0:01,"1000 S 1st St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2300715,1/18/2023,11:30,1/18/2023,0:01,"1000 S 1st St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300723,1/18/2023,11:28,1/16/2023,23:00,"211 E Green St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2300723,1/18/2023,11:28,1/16/2023,23:00,"211 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300726,1/18/2023,14:27,1/16/2023,13:30,"300 E Green St, Urbana, IL 61802, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300726,1/18/2023,14:27,1/16/2023,13:30,"300 E Green St, Urbana, IL 61802, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2300728,1/18/2023,15:03,1/18/2023,15:03,"Timothy J. Nugent Hall, 207 E Gregory Dr,",HARRASMENT,ADMIN CLOSED
,,,,,"Champaign, IL 61820, USA",,
II2300747,1/18/2023,19:32,1/18/2023,19:30,"100 W Springfield Ave, Champaign, IL 61820,",DISORDERLY CONDUCT-ALL,ADMIN. CLOSE
,,,,,USA,OTHER,
II2300747,1/18/2023,19:32,1/18/2023,19:30,"100 W Springfield Ave, Champaign, IL 61820,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
UU2300501,1/18/2023,12:11,1/10/2023,10:04,"901 W Western Ave, Urbana, IL 61801, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
UU2300628,1/18/2023,12:11,1/11/2023,18:59,"901 W Western Ave, Urbana, IL 61801, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
00081-2023,1/19/2023,9:17,1/13/2023,15:00,"1005 W College Ct, Urbana, IL 61801, USA",CRIMINAL DAMAGE,ADMIN CLOSED
IF2300813,1/19/2023,19:28,1/19/2023,19:28,"1800 S 1st St, Champaign, IL 61820, USA",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,,,REFERRAL
II2300777,1/19/2023,11:14,1/19/2023,11:14,"Illinois Terminal, 45 E University Ave,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,"Champaign, IL 61820, USA",DEPT,
II2300777,1/19/2023,11:14,1/19/2023,11:14,"Illinois Terminal, 45 E University Ave,",RUNAWAY - MINOR,ADMIN. CLOSE
,,,,,"Champaign, IL 61820, USA",REQUIRE AUTH INTER,
II2300778,1/19/2023,11:12,1/18/2023,19:30,"100 E Daniel St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300778,1/19/2023,11:12,1/18/2023,19:30,"100 E Daniel St, Champaign, IL 61820, USA",THEFT OVER $500,ADMIN. CLOSE
II2300788,1/19/2023,13:54,1/19/2023,0:01,"1005 W College Ct, Urbana, IL 61801, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300801,1/19/2023,15:57,1/18/2023,21:30,"1000 S 6th St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300801,1/19/2023,15:57,1/18/2023,21:30,"1000 S 6th St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2300821,1/19/2023,22:02,1/19/2023,8:19,"Champaign, IL 61820, USA",BURGLARY FROM MOTOR,ADMIN. CLOSE
,,,,,,VEHICLE,
II2300836,1/20/2023,2:15,1/20/2023,2:15,"S Wright St & E Green St, Champaign, IL 61820,",AGG FLEE/ATTEMPT ELUDE,PENDING
,,,,,USA,OFFICER,
II2300836,1/20/2023,2:15,1/20/2023,2:15,"S Wright St & E Green St, Champaign, IL 61820,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
II2300837,1/20/2023,2:14,1/20/2023,2:14,"900 S 1st St, Champaign, IL 61820, USA",BATTERY-DOMESTIC,ARREST
II2300837,1/20/2023,2:14,1/20/2023,2:14,"900 S 1st St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300837,1/20/2023,2:14,1/20/2023,2:14,"900 S 1st St, Champaign, IL 61820, USA",BATTERY-AGGRAVATED,ARREST
II2300848,1/20/2023,9:10,1/19/2023,22:00,"201 E Peabody Dr, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2300851,1/20/2023,9:44,1/19/2023,21:00,"1012 W Illinois St, Urbana, IL 61801, USA",DECEPTIVE PRACTICES,PENDING
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
II2300851,1/20/2023,9:44,1/19/2023,21:00,"1012 W Illinois St, Urbana, IL 61801, USA",INTIMIDATION,PENDING
II2300862,1/20/2023,13:46,1/20/2023,13:45,"1406 W Green St, Urbana, IL 61801, USA",TRESPASS-STATE,ARREST
,,,,,,SUPPORTED LAND,
II2300865,1/20/2023,12:30,1/19/2023,21:45,"1800 S 1st St, Champaign, IL 61820, USA",THEFT OVER $500,ARREST
II2300865,1/20/2023,12:30,1/19/2023,21:45,"1800 S 1st St, Champaign, IL 61820, USA",OBSTRUCTING JUSTICE,ARREST
II2300866,1/20/2023,14:09,1/20/2023,14:00,"1307 E Florida Ave, Urbana, IL 61801, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300866,1/20/2023,14:09,1/20/2023,14:00,"1307 E Florida Ave, Urbana, IL 61801, USA",FORGERY,ADMIN. CLOSE
II2300884,1/20/2023,18:54,1/19/2023,22:00,"300 E John St, Champaign, IL 61820, USA",BURGLARY FROM MOTOR,PENDING
,,,,,,VEHICLE,
II2300884,1/20/2023,18:54,1/19/2023,22:00,"300 E John St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
CC2302024,1/21/2023,7:05,1/20/2023,15:04,"309 E Springfield Ave, Champaign, IL 61820,",THEFT,REPORTED TO
,,,,,USA,,OTHER AGENCY
IF2300902,1/21/2023,0:05,1/21/2023,0:05,"Timothy J. Nugent Hall, 207 E Gregory Dr,",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,"Champaign, IL 61820, USA",,REFERRAL
IF2300906,1/21/2023,1:20,1/21/2023,1:20,"301 E Green St, Champaign, IL 61820, USA",BATTERY,ADMIN CLOSED
IF2300909,1/21/2023,1:52,1/21/2023,1:52,"Timothy J. Nugent Hall, 207 E Gregory Dr,",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,"Champaign, IL 61820, USA",,REFERRAL
IF2300943,1/21/2023,21:12,1/21/2023,21:12,"211 E Green St, Champaign, IL 61820, USA",AGGREVATED BATTERY,ADMIN CLOSED
IF2300953,1/21/2023,23:32,1/21/2023,23:32,"102 E Green St STE 104, Champaign, IL 61820,",UNLAWFUL USE OF,ADMIN CLOSED
,,,,,USA,IDENTIFICATION,
II2300904,1/21/2023,0:41,1/21/2023,0:41,"300 E Armory Ave, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300904,1/21/2023,0:41,1/21/2023,0:41,"300 E Armory Ave, Champaign, IL 61820, USA",RESIST/OBS,PENDING
,,,,,,CORRECT/POLICE/FIRE,
II2300904,1/21/2023,0:41,1/21/2023,0:41,"300 E Armory Ave, Champaign, IL 61820, USA",DISORDERLY CONDUCT-ALL,PENDING
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
,,,,,,OTHER,
II2300910,1/21/2023,1:43,1/21/2023,1:43,"700 S Goodwin Ave, Urbana, IL 61801, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300910,1/21/2023,1:43,1/21/2023,1:43,"700 S Goodwin Ave, Urbana, IL 61801, USA",DOMESTIC DISPUTE,STUDENT
,,,,,,,DISCIPLINE
,,,,,,,REFERRAL
II2300925,1/21/2023,12:17,1/20/2023,21:40,"211 E Green St, Champaign, IL 61820, USA",THEFT OF LOST/MISLAID,PENDING
,,,,,,PROPERTY,
II2300925,1/21/2023,12:17,1/20/2023,21:40,"211 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
IF2300963,1/22/2023,1:55,1/22/2023,1:55,"102 E Green St STE 104, Champaign, IL 61820,",UNLAWFUL USE OF,ADMIN CLOSED
,,,,,USA,IDENTIFICATION,
IF2300969,1/22/2023,1:40,1/22/2023,1:40,"202 E Peabody Dr, Champaign, IL 61820, USA",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,,,REFERRAL
IF2300973,1/22/2023,2:23,1/22/2023,2:23,"102 E Green St STE 104, Champaign, IL 61820,",THEFT,ADMIN CLOSED
,,,,,USA,,
IF2300980,1/22/2023,4:25,1/22/2023,4:25,"206 E Peabody Dr, Champaign, IL 61820, USA",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,,,REFERRAL
IF2300981,1/22/2023,4:34,1/22/2023,4:34,"58 E Armory Ave, Champaign, IL 61820, USA",CRIMINAL DAMAGE,ADMIN CLOSED
IF2300982,1/22/2023,5:52,1/22/2023,5:52,"901 W Pennsylvania Ave, Urbana, IL 61801,",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,USA,,REFERRAL
II2300942,1/22/2023,19:39,1/22/2023,19:39,"611 W Park St, Urbana, IL 61801, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300962,1/22/2023,0:35,1/22/2023,0:35,"211 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300962,1/22/2023,0:35,1/22/2023,0:35,"211 E Green St, Champaign, IL 61820, USA",FIGHTING,ARREST
II2300972,1/22/2023,1:52,1/21/2023,21:00,"1000 S 1st St, Champaign, IL 61820, USA",BURGLARY RESIDENTIAL,ADMIN. CLOSE
II2300972,1/22/2023,1:52,1/21/2023,21:00,"1000 S 1st St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
,,,,,,DEPT,
II2300983,1/22/2023,6:35,1/22/2023,6:35,"Abbot Power Plant, 1117 S Oak St, Champaign,",TRESPASS-VEHICLE,ARREST
,,,,,"IL 61820, USA",,
II2301002,1/22/2023,17:14,1/22/2023,17:10,"500 S 6th St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301002,1/22/2023,17:14,1/22/2023,17:10,"500 S 6th St, Champaign, IL 61820, USA",DRIVING UNDER,ARREST
,,,,,,INFLUENCE-DRUGS,
II2301012,1/22/2023,21:54,1/21/2023,18:00,"1000 S Locust St, Champaign, IL 61820, USA",THEFT OF LOST/MISLAID,ADMIN. CLOSE
,,,,,,PROPERTY,
II2301012,1/22/2023,21:54,1/21/2023,18:00,"1000 S Locust St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301020,1/23/2023,0:37,1/23/2023,0:37,"75 E Armory Ave, Champaign, IL 61820, USA",DRIVING UNDER THE,ARREST
,,,,,,INFL-ALCOHOL,
II2301020,1/23/2023,0:37,1/23/2023,0:37,"75 E Armory Ave, Champaign, IL 61820, USA",ILLEGAL TRANSPORTATION,ARREST
,,,,,,OF LIQUOR,
II2301020,1/23/2023,0:37,1/23/2023,0:37,"75 E Armory Ave, Champaign, IL 61820, USA",AGGR UNLAWFUL USE OF,ARREST
,,,,,,WEAPON,
II2301020,1/23/2023,0:37,1/23/2023,0:37,"75 E Armory Ave, Champaign, IL 61820, USA",BREATH ALCOHOL OVER,ARREST
,,,,,,LIMIT,
II2301041,1/23/2023,15:48,1/23/2023,12:00,"500 W Springfield Ave, Urbana, IL 61801, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301041,1/23/2023,15:48,1/23/2023,12:00,"500 W Springfield Ave, Urbana, IL 61801, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2301042,1/23/2023,16:05,1/20/2023,21:00,"300 E Green St, Urbana, IL 61802, USA",BURGLARY RESIDENTIAL,ADMIN. CLOSE
II2301042,1/23/2023,16:05,1/20/2023,21:00,"300 E Green St, Urbana, IL 61802, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301043,1/23/2023,17:40,1/23/2023,16:10,"1301 W Springfield Ave, Urbana, IL 61801, USA",THEFT OF LOST/MISLAID,ADMIN. CLOSE
,,,,,,PROPERTY,
II2301049,1/23/2023,19:15,1/9/2023,10:35,"English Building, 608 S Wright St, Urbana, IL",HARASSMENT BY,PTENDING
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
,,,,,"61801, USA",ELECTRONIC COMMUNIC,
IF2301067,1/24/2023,2:17,1/24/2023,2:17,"901 W College Ct, Urbana, IL 61801, USA",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,,,REFERRAL
II2301083,1/24/2023,12:27,1/23/2023,17:00,"509 E Healey St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2301095,1/24/2023,15:46,1/24/2023,9:45,"Bash Ct, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301095,1/24/2023,15:46,1/24/2023,9:45,"Bash Ct, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2301100,1/24/2023,18:03,1/20/2023,12:00,"300 E Green St, Urbana, IL 61802, USA",THEFT-IDENTITY,PENDING
II2301100,1/24/2023,18:03,1/20/2023,12:00,"300 E Green St, Urbana, IL 61802, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301100,1/24/2023,18:03,1/20/2023,12:00,"300 E Green St, Urbana, IL 61802, USA",FRAUD-DECEPTION,PENDING
II2301103,1/24/2023,12:28,1/18/2023,20:00,"300 E John St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301103,1/24/2023,12:28,1/18/2023,20:00,"300 E John St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2301104,1/24/2023,15:43,1/23/2023,0:01,"1000 W Pennsylvania Ave, Urbana, IL 61801,",FRAUD-CREDIT CARD,ADMIN. CLOSE
,,,,,USA,,
CSA23-008,1/25/2023,13:15,1/24/2023,UNKNOWN,"Champaign, IL, USA",STALKING,ADMIN CLOSED
CSA23-009,1/25/2023,15:20,2023,UNKNOWN,"502 W Green St #106, Urbana, IL 61801, USA",DOMESTIC,ADMIN CLOSED
II2301129,1/25/2023,0:57,1/25/2023,0:55,"211 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301129,1/25/2023,0:57,1/25/2023,0:55,"211 E Green St, Champaign, IL 61820, USA",BATTERY,ARREST
II2301165,1/25/2023,23:15,1/25/2023,1:30,"500 E Green St, Urbana, IL 61802, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301165,1/25/2023,23:15,1/25/2023,1:30,"500 E Green St, Urbana, IL 61802, USA",SEXUAL-ASSAULT-CRIMINAL,ADMIN. CLOSE
II2301184,1/26/2023,13:21,1/17/2023,17:00,"0 E Armory Ave, Champaign, IL 61820, USA",THEFT OF MOTOR VEH,ADMIN. CLOSE
,,,,,,PARTS & ACCESS,
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
II2301201,1/26/2023,18:21,1/26/2023,17:42,"707 S 3rd St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301201,1/26/2023,18:21,1/26/2023,17:42,"707 S 3rd St, Champaign, IL 61820, USA",DISORDERLY CONDUCT-ALL,PENDING
,,,,,,OTHER,
II2301201,1/26/2023,18:21,1/26/2023,17:42,"707 S 3rd St, Champaign, IL 61820, USA",BATTERY-AGGRAVATED,PENDING
II2301211,1/26/2023,20:56,1/26/2023,20:05,"528 E Green St Ste 101, Champaign, IL 61820,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
II2301211,1/26/2023,20:56,1/26/2023,20:05,"528 E Green St Ste 101, Champaign, IL 61820,",BATTERY-AGGRAVATED,PENDING
,,,,,USA,,
II2301211,1/26/2023,20:56,1/26/2023,20:05,"528 E Green St Ste 101, Champaign, IL 61820,",DISORDERLY CONDUCT-ALL,PENDING
,,,,,USA,OTHER,
II2301227,1/27/2023,1:44,1/27/2023,1:44,"0 E Green St, Champaign, IL 61820, USA",BATTERY-AGGRAVATED,PENDING
II2301227,1/27/2023,1:44,1/27/2023,1:44,"0 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301228,1/27/2023,1:54,1/27/2023,0:01,"102 E Green St STE 104, Champaign, IL 61820,",THEFT OVER $500,ADMIN. CLOSE
,,,,,USA,,
II2301228,1/27/2023,1:54,1/27/2023,0:01,"102 E Green St STE 104, Champaign, IL 61820,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
II2301235,1/27/2023,4:30,1/27/2023,4:30,"1300 W Beech St, Urbana, IL 61801, USA",METRO ACTIVATION,ADMIN. CLOSE
II2301258,1/27/2023,16:24,1/27/2023,16:24,"800 W Pennsylvania Ave, Urbana, IL 61801,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
II2301260,1/27/2023,16:45,1/23/2023,10:45,"300 E Green St, Urbana, IL 61802, USA",TRESPASS-RESIDENCE,PENDING
II2301261,1/27/2023,17:02,1/26/2023,12:00,"1751 S Goodwin Ave, Urbana, IL 61802, USA",BURGLARY FROM MOTOR,PENDING
,,,,,,VEHICLE,
II2301261,1/27/2023,17:02,1/26/2023,12:00,"1751 S Goodwin Ave, Urbana, IL 61802, USA",FRAUD-CREDIT CARD,PENDING
II2301261,1/27/2023,17:02,1/26/2023,12:00,"1751 S Goodwin Ave, Urbana, IL 61802, USA",THEFT-IDENTITY,PENDING
II2301276,1/27/2023,21:16,1/27/2023,21:16,"S 1st St & E Green St, Champaign, IL 61820,",AGG FLEE/ATTEMPT ELUDE,ARREST
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
,,,,,USA,OFFICER,
II2301276,1/27/2023,21:16,1/27/2023,21:16,"S 1st St & E Green St, Champaign, IL 61820,",DRIVING UNDER,ARREST
,,,,,USA,SUSPENDED LICENSE,
II2301280,1/27/2023,22:37,1/25/2023,2:00,"202 S Broadway Ave Ste 1, Urbana, IL 61801,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
UU2301529,1/27/2023,7:01,1/26/2023,13:21,"907 W Stoughton Street, Urbana, IL 61801, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
IF2301299,1/28/2023,1:25,1/28/2023,1:25,"202 E Peabody Dr, Champaign, IL 61820, USA",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,,,REFERRAL
II2301293,1/28/2023,0:16,1/28/2023,0:16,"1200 S 4th St, Champaign, IL 61820, USA",BATTERY,STUDENT
,,,,,,,DISCIPLINE
,,,,,,,REFERRAL
II2301334,1/28/2023,18:58,1/28/2023,17:21,"900 S Locust St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301334,1/28/2023,18:58,1/28/2023,17:21,"900 S Locust St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2301349,1/28/2023,23:15,1/28/2023,0:19,"1000 S 6th St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,PENDING
II2301349,1/28/2023,23:15,1/28/2023,0:19,"1000 S 6th St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
IF2301355,1/29/2023,1:20,1/29/2023,1:20,"1001 W Pennsylvania Ave, Urbana, IL 61801,",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,USA,,REFERRAL
II2301356,1/29/2023,1:10,1/29/2023,0:50,"211 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301356,1/29/2023,1:10,1/29/2023,0:50,"211 E Green St, Champaign, IL 61820, USA",BATTERY-AGGRAVATED,ADMIN. CLOSE
II2301359,1/29/2023,1:53,1/29/2023,1:52,"100 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301359,1/29/2023,1:53,1/29/2023,1:52,"100 E Green St, Champaign, IL 61820, USA",BATTERY-AGGRAVATED,ADMIN. CLOSE
CC2303010,1/30/2023,7:25,1/29/2023,10:22,"309 E Springfield Ave, Champaign, IL 61820,",THEFT,REPORTED TO
,,,,,USA,,OTHER AGENCY
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
II2301401,1/30/2023,0:55,1/30/2023,0:55,"801 N Walnut St, Champaign, IL 61820, USA",ILLEGAL TRANSPORTATION,ARREST
,,,,,,OF LIQUOR,
II2301401,1/30/2023,0:55,1/30/2023,0:55,"801 N Walnut St, Champaign, IL 61820, USA",BREATH ALCOHOL OVER,ARREST
,,,,,,LIMIT,
II2301401,1/30/2023,0:55,1/30/2023,0:55,"801 N Walnut St, Champaign, IL 61820, USA",DRIVING UNDER THE,ARREST
,,,,,,INFL-ALCOHOL,
II2300545,1/15/2023,0:47,1/15/2023,0:47,"800 S 6th St, Champaign, IL 61820, USA",DRIVING UNDER THE,ARREST
,,,,,,INFL-ALCOHOL,
II2300545,1/15/2023,0:47,1/15/2023,0:47,"800 S 6th St, Champaign, IL 61820, USA",ILLEGAL TRANSPORTATION,ARREST
,,,,,,OF LIQUOR,
II2301294,1/28/2023,0:38,1/28/2023,0:38,"1000 S 1st St, Champaign, IL 61820, USA",SPECIFIC NOISE,ARREST
,,,,,,PROHIBITED,
II2300467,1/13/2023,5:39,1/13/2023,5:39,"607 S Mathews Ave, Urbana, IL 61801, USA",TERRORISM-MAKE FALSE,PENDING
,,,,,,TERROR,
,,,,,,THREAT,
II2300562,1/15/2023,13:40,1/7/2023,18:29,"603 S 6th St, Champaign, IL 61820, USA",CRIMINAL DAMAGE TO,PENDING
,,,,,,PROPERTY,
II2300777,1/19/2023,11:14,1/19/2023,11:14,"Illinois Terminal, 45 E University Ave,",RUNAWAY - MINOR,ADMIN. CLOSE
,,,,,"Champaign, IL 61820, USA",REQUIRE AUTH,
,,,,,,INTER,
II2301028,1/23/2023,9:19,1/16/2023,13:10,"0 E John St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301028,1/23/2023,9:19,1/16/2023,13:10,"0 E John St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,PENDING
II2301049,1/23/2023,19:15,1/9/2023,10:35,"English Building, 608 S Wright St, Urbana, IL",HARASSMENT BY,UNFOUNDED
,,,,,"61801, USA",ELECTRONIC,
,,,,,,COMMUNICAT,
II2301235,1/27/2023,4:30,1/27/2023,4:30,"1300 W Beech St, Urbana, IL 61801, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301240,1/27/2023,8:37,1/22/2023,0:01,"1401 W Green St, Urbana, IL 61801, USA",FRAUD-CREDIT CARD,ADMIN. CLOSE
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
II2301260,1/27/2023,16:45,1/23/2023,10:45,"300 E Green St, Urbana, IL 61802, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
CSA23-011,1/30/2023,15:32,1/25/2023,15:26,"Champaign, IL, USA",STALKING,ADMIN CLOSED
CSA23-012,1/30/2023,16:48,1/1/2023,UNKNOWN,"1010 W Illinois St, Urbana, IL 61801, USA",FONDLING,ADMIN CLOSED
II2301407,1/30/2023,8:29,1/28/2023,3:04,"100 E John St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2301407,1/30/2023,8:29,1/28/2023,3:04,"100 E John St, Champaign, IL 61820, USA",ARSON,ADMIN. CLOSE
II2301412,1/30/2023,11:40,1/30/2023,11:35,"Illini Towers, 409 E Chalmers St, Champaign, IL",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,"61820, USA",DEPT,
